"[23, 26, 30, 30, 31, 39, 39, 39, 39, 39, 43, 43, 44, 48, 55, 71, 108]" "[26, 31, 35, 48, 74, 74, 74, 74, 74, 113, 124]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 26, 26, 30, 30, 39, 39, 39, 39, 39, 43, 44, 48, 48, 55, 71, 108]" "[31, 31, 35, 43, 74, 74, 74, 74, 74, 113, 124]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 26, 26, 30, 30, 35, 39, 39, 39, 39, 39, 43, 43, 74, 74, 74, 74]" "[31, 31, 44, 48, 48, 55, 71, 74, 108, 113, 124]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 26, 26, 30, 30, 31, 35, 39, 39, 39, 39, 39, 55, 74, 74, 74, 74]" "[31, 43, 43, 44, 48, 48, 71, 74, 108, 113, 124]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 26, 30, 30, 35, 39, 39, 39, 39, 39, 43, 43, 48, 55, 71, 74, 74]" "[26, 31, 31, 44, 48, 74, 74, 74, 108, 113, 124]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 26, 30, 30, 31, 35, 39, 39, 39, 39, 39, 43, 43, 48, 48, 71, 124]" "[26, 31, 44, 55, 74, 74, 74, 74, 74, 108, 113]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 26, 31, 48, 55, 71, 74, 74, 108, 113, 124]" "[26, 30, 30, 31, 35, 39, 39, 39, 39, 39, 43, 43, 44, 48, 74, 74, 74]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 31, 31, 43, 55, 71, 74, 74, 108, 113, 124]" "[26, 26, 30, 30, 35, 39, 39, 39, 39, 39, 43, 44, 48, 48, 74, 74, 74]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 26, 26, 31, 74, 74, 74, 74, 108, 113, 124]" "[30, 30, 31, 35, 39, 39, 39, 39, 39, 43, 43, 44, 48, 48, 55, 71, 74]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 31, 31, 71, 74, 74, 74, 74, 74, 108, 113]" "[26, 26, 30, 30, 35, 39, 39, 39, 39, 39, 43, 43, 44, 48, 48, 55, 124]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 26, 30, 30, 31, 35, 39, 39, 39, 39, 39, 43, 44, 48, 55, 74, 113]" "[26, 31, 43, 48, 71, 74, 74, 74, 74, 108, 124]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 31, 43, 48, 74, 74, 74, 74, 74, 108, 124]" "[26, 26, 30, 30, 31, 35, 39, 39, 39, 39, 39, 43, 44, 48, 55, 71, 113]" "[59, 92, 113, 113, 113, 122, 135]"
"[23, 26, 26, 30, 30, 35, 39, 39, 39, 39, 39, 44, 48, 48, 55, 74, 113]" "[31, 31, 43, 43, 71, 74, 74, 74, 74, 108, 124]" "[59, 92, 113, 113, 113, 122, 135]"
